code,high,low,price,total
005930,"85,400","83,000","85,000","3,258,659"
code,high,low,price,total
005930,"85,400","83,000","85,200","3,398,030"
code,high,low,price,total
005930,"85,400","83,000","85,200","3,419,600"
code,high,low,price,total
005930,"85,400","83,000","85,200","3,445,668"
code,high,low,price,total
005930,"85,400","83,000","85,200","3,445,668"
